image,mask
dataset/Land8Fire/images/patches/LC08_L1TP_041035_20200921_20200921_01_RT_patch_03584_02048.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_041035_20200921_20200921_01_RT_patch_03584_02048.png
dataset/activefire/images/patches/LC08_L1TP_158076_20200808_20200808_01_RT_p00479.tif,dataset/activefire/masks/voting/LC08_L1TP_158076_20200808_20200808_01_RT_voting_p00479.tif
dataset/activefire/images/patches/LC08_L1TP_135015_20200823_20200823_01_RT_p00840.tif,dataset/activefire/masks/voting/LC08_L1TP_135015_20200823_20200823_01_RT_voting_p00840.tif
dataset/Land8Fire/images/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_02048_03072.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_02048_03072.png
dataset/activefire/images/patches/LC08_L1TP_106070_20200828_20200828_01_RT_p00383.tif,dataset/activefire/masks/voting/LC08_L1TP_106070_20200828_20200828_01_RT_voting_p00383.tif
dataset/activefire/images/patches/LC08_L1TP_229069_20200809_20200809_01_RT_p00646.tif,dataset/activefire/masks/voting/LC08_L1TP_229069_20200809_20200809_01_RT_voting_p00646.tif
dataset/activefire/images/patches/LC08_L1TP_108018_20200810_20200810_01_RT_p00497.tif,dataset/activefire/masks/voting/LC08_L1TP_108018_20200810_20200810_01_RT_voting_p00497.tif
dataset/activefire/images/patches/LC08_L1TP_227081_20200811_20200811_01_RT_p00166.tif,dataset/activefire/masks/voting/LC08_L1TP_227081_20200811_20200811_01_RT_voting_p00166.tif
dataset/Land8Fire/images/patches/LC08_L1TP_117017_20200926_20200926_01_RT_patch_03840_02816.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_117017_20200926_20200926_01_RT_patch_03840_02816.png
dataset/activefire/images/patches/LC08_L1TP_132020_20200818_20200818_01_RT_p00334.tif,dataset/activefire/masks/voting/LC08_L1TP_132020_20200818_20200818_01_RT_voting_p00334.tif
dataset/activefire/images/patches/LC08_L1TP_166065_20200816_20200816_01_RT_p00181.tif,dataset/activefire/masks/voting/LC08_L1TP_166065_20200816_20200816_01_RT_voting_p00181.tif
dataset/activefire/images/patches/LC08_L1TP_122015_20200828_20200828_01_RT_p00580.tif,dataset/activefire/masks/voting/LC08_L1TP_122015_20200828_20200828_01_RT_voting_p00580.tif
dataset/activefire/images/patches/LC08_L1TP_169069_20200821_20200821_01_RT_p00161.tif,dataset/activefire/masks/voting/LC08_L1TP_169069_20200821_20200821_01_RT_voting_p00161.tif
dataset/Land8Fire/images/patches/LC08_L1TP_227071_20200912_20200912_01_RT_patch_06144_02560.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_227071_20200912_20200912_01_RT_patch_06144_02560.png
dataset/activefire/images/patches/LC08_L1TP_156013_20200810_20200810_01_RT_p00264.tif,dataset/activefire/masks/voting/LC08_L1TP_156013_20200810_20200810_01_RT_voting_p00264.tif
dataset/activefire/images/patches/LC08_L1TP_121016_20200821_20200821_01_RT_p00698.tif,dataset/activefire/masks/voting/LC08_L1TP_121016_20200821_20200821_01_RT_voting_p00698.tif
dataset/Land8Fire/images/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_02304_02048.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_02304_02048.png
dataset/activefire/images/patches/LC08_L1TP_104070_20200830_20200830_01_RT_p00423.tif,dataset/activefire/masks/voting/LC08_L1TP_104070_20200830_20200830_01_RT_voting_p00423.tif
dataset/activefire/images/patches/LC08_L1TP_166069_20200816_20200816_01_RT_p00291.tif,dataset/activefire/masks/voting/LC08_L1TP_166069_20200816_20200816_01_RT_voting_p00291.tif
dataset/activefire/images/patches/LC08_L1TP_117019_20200809_20200809_01_RT_p00269.tif,dataset/activefire/masks/voting/LC08_L1TP_117019_20200809_20200809_01_RT_voting_p00269.tif
dataset/activefire/images/patches/LC08_L1TP_134015_20200816_20200816_01_RT_p00411.tif,dataset/activefire/masks/voting/LC08_L1TP_134015_20200816_20200816_01_RT_voting_p00411.tif
dataset/activefire/images/patches/LC08_L1TP_121015_20200821_20200821_01_RT_p00085.tif,dataset/activefire/masks/voting/LC08_L1TP_121015_20200821_20200821_01_RT_voting_p00085.tif
dataset/activefire/images/patches/LC08_L1TP_169065_20200821_20200821_01_RT_p00260.tif,dataset/activefire/masks/voting/LC08_L1TP_169065_20200821_20200821_01_RT_voting_p00260.tif
dataset/activefire/images/patches/LC08_L1TP_227072_20200811_20200811_01_RT_p00659.tif,dataset/activefire/masks/voting/LC08_L1TP_227072_20200811_20200811_01_RT_voting_p00659.tif
dataset/Land8Fire/images/patches/LC08_L1TP_117017_20200926_20200926_01_RT_patch_03584_03328.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_117017_20200926_20200926_01_RT_patch_03584_03328.png
dataset/activefire/images/patches/LC08_L1TP_166068_20200816_20200816_01_RT_p00330.tif,dataset/activefire/masks/voting/LC08_L1TP_166068_20200816_20200816_01_RT_voting_p00330.tif
dataset/activefire/images/patches/LC08_L1TP_166064_20200816_20200816_01_RT_p00232.tif,dataset/activefire/masks/voting/LC08_L1TP_166064_20200816_20200816_01_RT_voting_p00232.tif
dataset/activefire/images/patches/LC08_L1TP_024038_20200813_20200813_01_RT_p00727.tif,dataset/activefire/masks/voting/LC08_L1TP_024038_20200813_20200813_01_RT_voting_p00727.tif
dataset/activefire/images/patches/LC08_L1TP_170066_20200812_20200812_01_RT_p00550.tif,dataset/activefire/masks/voting/LC08_L1TP_170066_20200812_20200812_01_RT_voting_p00550.tif
dataset/activefire/images/patches/LC08_L1TP_119015_20200823_20200823_01_RT_p00721.tif,dataset/activefire/masks/voting/LC08_L1TP_119015_20200823_20200823_01_RT_voting_p00721.tif
dataset/activefire/images/patches/LC08_L1TP_143014_20200815_20200815_01_RT_p00474.tif,dataset/activefire/masks/voting/LC08_L1TP_143014_20200815_20200815_01_RT_voting_p00474.tif
dataset/activefire/images/patches/LC08_L1TP_222067_20200808_20200808_01_RT_p00563.tif,dataset/activefire/masks/voting/LC08_L1TP_222067_20200808_20200808_01_RT_voting_p00563.tif
dataset/activefire/images/patches/LC08_L1TP_121016_20200821_20200821_01_RT_p00604.tif,dataset/activefire/masks/voting/LC08_L1TP_121016_20200821_20200821_01_RT_voting_p00604.tif
dataset/activefire/images/patches/LC08_L1TP_128016_20200822_20200822_01_RT_p00274.tif,dataset/activefire/masks/voting/LC08_L1TP_128016_20200822_20200822_01_RT_voting_p00274.tif
dataset/activefire/images/patches/LC08_L1TP_182065_20200816_20200816_01_RT_p00473.tif,dataset/activefire/masks/voting/LC08_L1TP_182065_20200816_20200816_01_RT_voting_p00473.tif
dataset/Land8Fire/images/patches/LC08_L1TP_117017_20200926_20200926_01_RT_patch_03328_02304.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_117017_20200926_20200926_01_RT_patch_03328_02304.png
dataset/activefire/images/patches/LC08_L1TP_101071_20200825_20200825_01_RT_p00210.tif,dataset/activefire/masks/voting/LC08_L1TP_101071_20200825_20200825_01_RT_voting_p00210.tif
dataset/activefire/images/patches/LC08_L1TP_131015_20200827_20200827_01_RT_p00086.tif,dataset/activefire/masks/voting/LC08_L1TP_131015_20200827_20200827_01_RT_voting_p00086.tif
dataset/activefire/images/patches/LC08_L1TP_001069_20200812_20200812_01_RT_p00846.tif,dataset/activefire/masks/voting/LC08_L1TP_001069_20200812_20200812_01_RT_voting_p00846.tif
dataset/activefire/images/patches/LC08_L1TP_175073_20200815_20200815_01_RT_p00502.tif,dataset/activefire/masks/voting/LC08_L1TP_175073_20200815_20200815_01_RT_voting_p00502.tif
dataset/activefire/images/patches/LC08_L1TP_175068_20200815_20200815_01_RT_p00565.tif,dataset/activefire/masks/voting/LC08_L1TP_175068_20200815_20200815_01_RT_voting_p00565.tif
dataset/activefire/images/patches/LC08_L1TP_173068_20200817_20200817_01_RT_p00478.tif,dataset/activefire/masks/voting/LC08_L1TP_173068_20200817_20200817_01_RT_voting_p00478.tif
dataset/activefire/images/patches/LC08_L1TP_040038_20200813_20200814_01_RT_p00815.tif,dataset/activefire/masks/voting/LC08_L1TP_040038_20200813_20200814_01_RT_voting_p00815.tif
dataset/activefire/images/patches/LC08_L1TP_182061_20200816_20200816_01_RT_p00596.tif,dataset/activefire/masks/voting/LC08_L1TP_182061_20200816_20200816_01_RT_voting_p00596.tif
dataset/activefire/images/patches/LC08_L1TP_121016_20200821_20200821_01_RT_p00771.tif,dataset/activefire/masks/voting/LC08_L1TP_121016_20200821_20200821_01_RT_voting_p00771.tif
dataset/activefire/images/patches/LC08_L1TP_168073_20200830_20200830_01_RT_p00695.tif,dataset/activefire/masks/voting/LC08_L1TP_168073_20200830_20200830_01_RT_voting_p00695.tif
dataset/activefire/images/patches/LC08_L1TP_169065_20200821_20200821_01_RT_p00667.tif,dataset/activefire/masks/voting/LC08_L1TP_169065_20200821_20200821_01_RT_voting_p00667.tif
dataset/activefire/images/patches/LC08_L1TP_173067_20200817_20200817_01_RT_p00734.tif,dataset/activefire/masks/voting/LC08_L1TP_173067_20200817_20200817_01_RT_voting_p00734.tif
dataset/Land8Fire/images/patches/LC08_L1TP_042034_20200912_20200912_01_RT_patch_04352_02560.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_042034_20200912_20200912_01_RT_patch_04352_02560.png
dataset/activefire/images/patches/LC08_L1GT_120016_20200830_20200830_01_RT_p00743.tif,dataset/activefire/masks/voting/LC08_L1GT_120016_20200830_20200830_01_RT_voting_p00743.tif
dataset/activefire/images/patches/LC08_L1TP_135014_20200807_20200807_01_RT_p00758.tif,dataset/activefire/masks/voting/LC08_L1TP_135014_20200807_20200807_01_RT_voting_p00758.tif
dataset/activefire/images/patches/LC08_L1TP_042035_20200827_20200827_01_RT_p00846.tif,dataset/activefire/masks/voting/LC08_L1TP_042035_20200827_20200827_01_RT_voting_p00846.tif
dataset/activefire/images/patches/LC08_L1TP_035033_20200810_20200810_01_RT_p00201.tif,dataset/activefire/masks/voting/LC08_L1TP_035033_20200810_20200810_01_RT_voting_p00201.tif
dataset/activefire/images/patches/LC08_L1TP_124031_20200810_20200810_01_RT_p00824.tif,dataset/activefire/masks/voting/LC08_L1TP_124031_20200810_20200810_01_RT_voting_p00824.tif
dataset/Land8Fire/images/patches/LC08_L1TP_227071_20200912_20200912_01_RT_patch_05888_02560.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_227071_20200912_20200912_01_RT_patch_05888_02560.png
dataset/Land8Fire/images/patches/LC08_L1TP_046029_20200908_20200908_01_RT_patch_02560_04864.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_046029_20200908_20200908_01_RT_patch_02560_04864.png
dataset/activefire/images/patches/LC08_L1TP_166069_20200816_20200816_01_RT_p00673.tif,dataset/activefire/masks/voting/LC08_L1TP_166069_20200816_20200816_01_RT_voting_p00673.tif
dataset/activefire/images/patches/LC08_L1TP_108018_20200810_20200810_01_RT_p00396.tif,dataset/activefire/masks/voting/LC08_L1TP_108018_20200810_20200810_01_RT_voting_p00396.tif
dataset/activefire/images/patches/LC08_L1TP_136014_20200830_20200830_01_RT_p00776.tif,dataset/activefire/masks/voting/LC08_L1TP_136014_20200830_20200830_01_RT_voting_p00776.tif
dataset/Land8Fire/images/patches/LC08_L1TP_042034_20200912_20200912_01_RT_patch_04864_03328.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_042034_20200912_20200912_01_RT_patch_04864_03328.png
dataset/activefire/images/patches/LC08_L1TP_119014_20200807_20200807_01_RT_p00478.tif,dataset/activefire/masks/voting/LC08_L1TP_119014_20200807_20200807_01_RT_voting_p00478.tif
dataset/activefire/images/patches/LC08_L1TP_121016_20200821_20200821_01_RT_p00772.tif,dataset/activefire/masks/voting/LC08_L1TP_121016_20200821_20200821_01_RT_voting_p00772.tif
dataset/activefire/images/patches/LC08_L1TP_121016_20200821_20200821_01_RT_p00635.tif,dataset/activefire/masks/voting/LC08_L1TP_121016_20200821_20200821_01_RT_voting_p00635.tif
dataset/Land8Fire/images/patches/LC08_L1TP_229078_20200926_20200926_01_RT_patch_01280_02816.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_229078_20200926_20200926_01_RT_patch_01280_02816.png
dataset/activefire/images/patches/LC08_L1TP_227074_20200811_20200811_01_RT_p00765.tif,dataset/activefire/masks/voting/LC08_L1TP_227074_20200811_20200811_01_RT_voting_p00765.tif
dataset/activefire/images/patches/LC08_L1TP_122013_20200828_20200828_01_RT_p00739.tif,dataset/activefire/masks/voting/LC08_L1TP_122013_20200828_20200828_01_RT_voting_p00739.tif
dataset/activefire/images/patches/LC08_L1TP_134015_20200816_20200816_01_RT_p00473.tif,dataset/activefire/masks/voting/LC08_L1TP_134015_20200816_20200816_01_RT_voting_p00473.tif
dataset/activefire/images/patches/LC08_L1TP_131019_20200827_20200827_01_RT_p00083.tif,dataset/activefire/masks/voting/LC08_L1TP_131019_20200827_20200827_01_RT_voting_p00083.tif
dataset/activefire/images/patches/LC08_L1TP_106069_20200828_20200828_01_RT_p00737.tif,dataset/activefire/masks/voting/LC08_L1TP_106069_20200828_20200828_01_RT_voting_p00737.tif
dataset/Land8Fire/images/patches/LC08_L1TP_042034_20200912_20200912_01_RT_patch_04096_03072.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_042034_20200912_20200912_01_RT_patch_04096_03072.png
dataset/activefire/images/patches/LC08_L1TP_166068_20200816_20200816_01_RT_p00143.tif,dataset/activefire/masks/voting/LC08_L1TP_166068_20200816_20200816_01_RT_voting_p00143.tif
dataset/activefire/images/patches/LC08_L1TP_135015_20200807_20200807_01_RT_p00971.tif,dataset/activefire/masks/voting/LC08_L1TP_135015_20200807_20200807_01_RT_voting_p00971.tif
dataset/activefire/images/patches/LC08_L1TP_133015_20200809_20200809_01_RT_p00115.tif,dataset/activefire/masks/voting/LC08_L1TP_133015_20200809_20200809_01_RT_voting_p00115.tif
dataset/activefire/images/patches/LC08_L1TP_144014_20200822_20200822_01_RT_p00796.tif,dataset/activefire/masks/voting/LC08_L1TP_144014_20200822_20200822_01_RT_voting_p00796.tif
dataset/activefire/images/patches/LC08_L1TP_130013_20200820_20200820_01_RT_p00774.tif,dataset/activefire/masks/voting/LC08_L1TP_130013_20200820_20200820_01_RT_voting_p00774.tif
dataset/activefire/images/patches/LC08_L1TP_136016_20200830_20200830_01_RT_p00625.tif,dataset/activefire/masks/voting/LC08_L1TP_136016_20200830_20200830_01_RT_voting_p00625.tif
dataset/activefire/images/patches/LC08_L1TP_227078_20200811_20200811_01_RT_p00596.tif,dataset/activefire/masks/voting/LC08_L1TP_227078_20200811_20200811_01_RT_voting_p00596.tif
dataset/activefire/images/patches/LC08_L1TP_136019_20200830_20200830_01_RT_p00499.tif,dataset/activefire/masks/voting/LC08_L1TP_136019_20200830_20200830_01_RT_voting_p00499.tif
dataset/activefire/images/patches/LC08_L1TP_108018_20200810_20200810_01_RT_p00430.tif,dataset/activefire/masks/voting/LC08_L1TP_108018_20200810_20200810_01_RT_voting_p00430.tif
dataset/activefire/images/patches/LC08_L1TP_166070_20200816_20200816_01_RT_p00760.tif,dataset/activefire/masks/voting/LC08_L1TP_166070_20200816_20200816_01_RT_voting_p00760.tif
dataset/activefire/images/patches/LC08_L1TP_028039_20200825_20200825_01_RT_p00757.tif,dataset/activefire/masks/voting/LC08_L1TP_028039_20200825_20200825_01_RT_voting_p00757.tif
dataset/activefire/images/patches/LC08_L1TP_106068_20200828_20200828_01_RT_p00360.tif,dataset/activefire/masks/voting/LC08_L1TP_106068_20200828_20200828_01_RT_voting_p00360.tif
dataset/activefire/images/patches/LC08_L1TP_044032_20200825_20200826_01_RT_p00636.tif,dataset/activefire/masks/voting/LC08_L1TP_044032_20200825_20200826_01_RT_voting_p00636.tif
dataset/Land8Fire/images/patches/LC08_L1TP_046029_20200908_20200908_01_RT_patch_03328_05632.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_046029_20200908_20200908_01_RT_patch_03328_05632.png
dataset/activefire/images/patches/LC08_L1TP_169068_20200821_20200821_01_RT_p00139.tif,dataset/activefire/masks/voting/LC08_L1TP_169068_20200821_20200821_01_RT_voting_p00139.tif
dataset/Land8Fire/images/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_02560_06656.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_227072_20200912_20200912_01_RT_patch_02560_06656.png
dataset/activefire/images/patches/LC08_L1TP_136015_20200830_20200830_01_RT_p00727.tif,dataset/activefire/masks/voting/LC08_L1TP_136015_20200830_20200830_01_RT_voting_p00727.tif
dataset/activefire/images/patches/LC08_L1TP_121028_20200821_20200821_01_RT_p00560.tif,dataset/activefire/masks/voting/LC08_L1TP_121028_20200821_20200821_01_RT_voting_p00560.tif
dataset/activefire/images/patches/LC08_L1TP_045032_20200816_20200816_01_RT_p00190.tif,dataset/activefire/masks/voting/LC08_L1TP_045032_20200816_20200816_01_RT_voting_p00190.tif
dataset/Land8Fire/images/patches/LC08_L1TP_042034_20200912_20200912_01_RT_patch_03840_03072.tif,dataset/Land8Fire/masks/patches/LC08_L1TP_042034_20200912_20200912_01_RT_patch_03840_03072.png
dataset/activefire/images/patches/LC08_L1TP_166066_20200816_20200816_01_RT_p00317.tif,dataset/activefire/masks/voting/LC08_L1TP_166066_20200816_20200816_01_RT_voting_p00317.tif
dataset/activefire/images/patches/LC08_L1TP_010061_20200827_20200827_01_RT_p00675.tif,dataset/activefire/masks/voting/LC08_L1TP_010061_20200827_20200827_01_RT_voting_p00675.tif
dataset/activefire/images/patches/LC08_L1TP_224072_20200806_20200807_01_RT_p00331.tif,dataset/activefire/masks/voting/LC08_L1TP_224072_20200806_20200807_01_RT_voting_p00331.tif
dataset/activefire/images/patches/LC08_L1TP_170068_20200812_20200812_01_RT_p00118.tif,dataset/activefire/masks/voting/LC08_L1TP_170068_20200812_20200812_01_RT_voting_p00118.tif
dataset/activefire/images/patches/LC08_L1TP_136018_20200830_20200830_01_RT_p00271.tif,dataset/activefire/masks/voting/LC08_L1TP_136018_20200830_20200830_01_RT_voting_p00271.tif
dataset/activefire/images/patches/LC08_L1TP_123015_20200819_20200819_01_RT_p00714.tif,dataset/activefire/masks/voting/LC08_L1TP_123015_20200819_20200819_01_RT_voting_p00714.tif
dataset/activefire/images/patches/LC08_L1TP_042028_20200827_20200827_01_RT_p00317.tif,dataset/activefire/masks/voting/LC08_L1TP_042028_20200827_20200827_01_RT_voting_p00317.tif
dataset/activefire/images/patches/LC08_L1TP_166066_20200816_20200816_01_RT_p00269.tif,dataset/activefire/masks/voting/LC08_L1TP_166066_20200816_20200816_01_RT_voting_p00269.tif
